,pm2d5,pm10,tsp,leq,dev,stn_name
2021-05-05 00:01:09+08:00,65,85,102,56.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:02:09+08:00,65,86,104,55.9,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:03:09+08:00,66,86,104,56.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:04:09+08:00,64,85,103,56.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:05:09+08:00,66,86,104,57.4,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:06:09+08:00,65,83,101,56.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:07:09+08:00,65,85,103,56.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:08:09+08:00,65,85,103,56.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:09:09+08:00,66,87,105,56.4,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:10:09+08:00,64,84,101,56.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:11:09+08:00,64,85,102,57.7,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:12:09+08:00,64,84,101,57.9,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:13:09+08:00,66,86,104,58.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:13:29+08:00,69.4,100.7,129.5,58.3,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:14:09+08:00,65,83,100,57.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:15:09+08:00,65,85,103,55.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:16:09+08:00,63,84,102,56,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:17:09+08:00,65,85,102,57,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:18:09+08:00,65,85,103,56.3,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:19:09+08:00,65,87,105,56.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:20:09+08:00,65,86,104,56.1,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:21:09+08:00,64,84,101,56.9,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:22:09+08:00,65,86,104,57.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:23:09+08:00,65,85,103,56.9,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:24:09+08:00,65,85,102,56.1,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:25:09+08:00,66,85,103,56.1,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:26:09+08:00,65,86,104,55.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:27:09+08:00,65,85,102,56.4,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:28:09+08:00,68,90,109,56.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:29:09+08:00,67,86,104,56.9,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:30:09+08:00,66,87,105,56.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:31:09+08:00,66,87,105,55.7,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:32:09+08:00,65,87,106,56.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:33:09+08:00,67,89,108,56,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:34:09+08:00,67,87,105,56.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:35:09+08:00,67,88,107,56.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:36:09+08:00,68,89,108,57.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:37:09+08:00,67,87,105,57.2,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:38:09+08:00,68,88,107,55.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:39:09+08:00,67,89,107,55.5,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:40:09+08:00,67,87,105,56.3,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:41:09+08:00,69,90,110,56.3,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:42:09+08:00,68,88,107,55.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:43:09+08:00,68,88,107,56.8,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:44:09+08:00,68,87,106,56.6,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:45:09+08:00,68,88,107,56.7,8.66E+14,工大丁家桥校区东西科技楼
2021-05-05 00:46:09+08:00,68,89,108,57.2,8.66E+14,工大丁家桥校区东西科技楼
