用户ID,客户分类,区域,是否省会,7月销量,8月销量,9月销量,10月销量,11月销量
59224,A类,一线城市,是,6,,0,0,4
55295,A类,三线城市,是,37,27,35,22,33
46035,A类,二线城市,是,8,1,8,2,5
22557,A类,二线城市,是,42,20,55,30,30
5923,A类,二线城市,是,62,52,81,67,34
39093,A类,二线城市,是,1,8,12,19,12
46166,A类,二线城市,是,9,6,11,13,5
2099,A类,一线城市,是,20,26,29,36,27
22179,A类,三线城市,是,9,12,4,62,30
54312,A类,二线城市,是,67,64,70,70,55
11062,A类,二线城市,是,57,49,84,0,0
12431,A类,二线城市,是,32,22,28,12,18
58223,A类,三线城市,是,45,34,19,31,41
54346,A类,二线城市,是,33,13,19,28,23
16560,A类,二线城市,是,6,9,22,20,19
1207,A类,二线城市,是,18,8,9,5,5
6373,A类,一线城市,是,32,32,34,39,30
8185,A类,二线城市,是,26,27,18,21,24
55436,A类,二线城市,是,36,18,28,31,16
58132,A类,二线城市,是,41,36,30,65,123
16196,A类,二线城市,是,13,26,22,24,18
792,A类,二线城市,是,47,47,47,51,42
41939,A类,二线城市,是,23,22,20,10,5
156,A类,二线城市,是,,2,53,49,13
37918,A类,三线城市,是,6,,6,0,0
56399,A类,三线城市,是,118,17,16,1,1
53631,A类,三线城市,是,15,5,,2,1
18823,A类,二线城市,是,38,33,20,35,33
8678,A类,二线城市,是,38,16,7,32,40
15246,A类,二线城市,是,6,5,6,1,7
43611,A类,二线城市,是,65,44,53,20,0
14156,A类,三线城市,是,31,16,29,33,10
26661,A类,三线城市,是,33,24,26,11,30
27898,A类,二线城市,是,32,66,70,70,48
10366,A类,二线城市,是,15,15,21,7,19
45631,A类,二线城市,是,27,9,24,13,7
12047,A类,二线城市,是,16,12,12,10,11
33035,A类,二线城市,是,10,15,19,1,0
54765,A类,二线城市,是,6,5,7,12,15
152,A类,二线城市,是,41,29,38,34,37
58591,A类,二线城市,是,6,16,0,42,14
56272,A类,三线城市,是,8,14,20,22,29
17552,A类,二线城市,是,21,18,13,18,9
23017,A类,二线城市,是,16,15,12,26,7
2753,A类,二线城市,是,7,16,16,3,30
17646,A类,二线城市,是,17,15,9,11,11
2102,A类,二线城市,是,88,62,98,60,43
53809,A类,二线城市,是,27,25,21,16,19
12488,A类,三线城市,是,12,1,3,1,1
25410,A类,三线城市,是,38,33,20,14,23
28432,A类,二线城市,是,16,14,6,1,5
38050,A类,二线城市,是,14,13,17,21,7
21255,A类,二线城市,是,4,8,19,9,8
54625,A类,二线城市,是,20,14,3,6,5
12711,A类,二线城市,是,,,,0,0
44930,A类,二线城市,是,51,55,12,1,8
20330,A类,三线城市,是,40,20,17,20,25
9059,A类,二线城市,是,111,96,132,106,110
6780,A类,二线城市,是,54,42,65,71,108
45196,A类,二线城市,是,6,4,7,7,3
9800,A类,二线城市,是,15,13,13,11,8
30862,A类,二线城市,是,5,6,11,6,11
16535,A类,三线城市,是,4,3,2,1,2
11073,A类,一线城市,是,13,8,12,0,0
51649,A类,一线城市,是,10,10,27,23,29
5150,A类,二线城市,是,11,4,3,6,11
41779,A类,二线城市,是,12,1,1,5,2
