,dimGoodsID,categoryID1,categoryName1,categoryID2,categoryName2,categoryID3,categoryName3,categoryID4,categoryName4,branName,name
0,400001,40,烟酒纯鲜奶,45,酒,4,礼盒酒,5,礼盒装滋补酒,喜多多,喜多多芦荟纤维粥370g
1,1010023,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,中华,中华(软)
2,1010030,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,南京,南京(佳品)
3,1010031,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,南京,南京(红)
4,1010033,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,云烟,云烟(软珍品zj)
5,1010044,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,利群,利群(软长嘴)
6,1010064,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,利群,利群(软红长嘴)
7,1010068,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,芙蓉王,芙蓉王(硬)
8,1010069,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,利群,利群(老版)
9,1010072,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,云烟,双龙云烟20支装
10,1010079,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,红双喜,红双喜（硬）（武汉）
11,1010093,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,芙蓉王,芙蓉王(蓝)
12,1010100,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,苏烟,苏烟(软金砂)
13,1010107,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,玉溪,软玉溪(B) 
14,1010127,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,芙蓉王,芙蓉王(软蓝)
15,1010132,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,云烟,84全硬云烟（印象）香烟
16,1010137,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,白沙,84全硬白沙（和红）香烟
17,1010151,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,阳光利群,利群（阳光）
18,1010160,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,黄鹤楼,黄鹤楼(硬雅香)
19,1010194,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,利群,利群(硬)
20,1010198,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,红塔山,红塔山(软经典)
21,1010208,10,烟酒纯鲜奶,10,烟,1,香烟,4,省外烟,贵烟,贵烟(多彩)
22,1010223,10,烟酒纯鲜奶,10,烟,1,香烟,3,杭产烟,雄狮,雄狮（红）
